QSO, [O/H], log (D/H), inc log(D/H) ,Reference, Meet criteria?
HS 0105+1619,-1.771,-4.589, 0.026, Cooke et al. (2014), 1
Q0913+072,-2.416,-4.597, 0.018, Cooke et al. (2014), 1
SDSS J1358+6522,-2.335,-4.588, 0.012, Cooke et al. (2014), 1
SDSS J1419+0829,-1.922,-4.601, 0.009, Cooke et al. (2014), 1
SDSS J1558-0031,-1.650,-4.619, 0.026, Cooke et al. (2014), 1
Q1243+307,-2.769,-4.622, 0.015, Cooke et al. (2018), 1
SDSS J1358+0349,-2.804,-4.582, 0.012, Cooke et al. (2016), 1
J1444+2919,-2.042,-4.706, 0.067, Balashev et al. (2016), 1
CTQ 247,-1.990,-4.560, 0.100, Noterdaeme et al. (2012), 0
PKS 1937–1009(1),-1.870,-4.610, 0.050, Riemer-Sørensen et al. (2015), 0
J1337+3152,-2.640,-4.930, 0.150, Srianand et al. (2010), 0
J1134+5742,-1.9,-4.690, 0.13, Fumagalli et al. (2011), 0
Q2206-199,-2.070,-4.786, 0.100, Pettini &amp; Bowen (2001), 0
Q0347-3819,-0.820,-4.426, 0.028, Levshakov et al. (2002), 0
PKS 1937–1009(2),-2.250,-4.581, 0.008, Riemer-Sørensen et al. (2017), 0
Q1009+2956,-2.500,-4.606, 0.066, Zavarygin et al. (2018), 0
J1332+0052,-1.725,-4.622, 0.014, this paper, 0