Star ,[Fe/H],[O/H],A(Li)
HD3567 ,-1.14,-0.79,2.32
HD19445 ,-2.02,-1.38,2.20
HD59392 ,-1.61,-1.04,2.24
HD102200 ,-1.25,-0.85,2.25
HD106038 ,-1.35,-0.76,2.48
HD140283 ,-2.40,-1.74,2.20
HD160617 ,-1.76,-1.43,2.28
HD213657 ,-1.90,-1.34,2.25
HD298986 ,-1.33,-0.98,2.24
HD338529 ,-2.26,-1.68,2.22
G013-009 ,-2.30,-1.71,2.19
G020-024 ,-1.89,-1.35,2.18
G075-031 ,-1.02,-0.68,2.30
G126-062 ,-1.51,-1.05,2.24
G271-162 ,-2.30,-1.79,2.25
BD+092190 ,-2.66,-2.22,2.10
BD+030740 ,-2.65,-2.06,2.11
BD-133442 ,-2.71,-2.09,2.14
CD-3018140 ,-1.90,-1.28,2.22
CD-331173 ,-2.92,-2.33,2.05
CD-333337 ,-1.31,-0.76,2.24
CD-3514849 ,-2.27,-1.70,2.24
CD-482445 ,-1.93,-1.40,2.19
LP815-43 ,-2.74,-2.20,2.13